EpisodeNumber,IterationTime,AverageIterationTime,CumulativeIterationTime,Reward,AverageReward,CheckpointCount,Velocity,AverageVelocity,TimedOut
2763,24.96038,96.93933061437122,267843.37048750767,12.53249,70.42947773257538,4,11.0333233,8.27048019744119,False
2764,240.01445,96.9910944057553,268083.3849375077,236.018311,70.48938686183277,73,13.8189173,8.272487591472506,True
2765,148.154831,97.00959846962304,268231.5397685077,138.32373,70.5139200781576,43,13.7870207,8.27448199766004,False
2766,64.68116,96.997910675527,268296.2209285077,38.4581757,70.50233087194714,12,10.0495539,8.275123744551703,False
2767,77.49901,96.9908637291318,268373.7199385077,63.067,70.49964372670972,20,12.6509285,8.27670517019516,False
2768,240.01445,97.04253409989441,268613.7343885077,194.246613,70.54435000173619,60,11.503973,8.277871090653905,True
2769,54.66106,97.02722840321695,268668.39544850774,38.5197029,70.53278458205337,12,11.80016,8.279143134319252,False
2770,240.01445,97.07884833881147,268908.40989850776,220.153915,70.5867994305797,68,12.9485121,8.280828827086646,True
2771,3.55999732,97.04509920455712,268911.96989582776,-2.91954112,70.56027242208076,1,6.532938,8.28019804728618,False
2772,50.0209541,97.02813522724666,268961.99084992777,38.2070045,70.54860096900642,12,12.6903915,8.281789026165226,False
2773,102.094879,97.0299623977381,269064.08572892775,88.74218,70.5551619423317,28,13.1118383,8.283530839823298,False
2774,240.01445,97.08150691381678,269304.10017892777,226.860535,70.61150850796172,71,13.2141714,8.285308287754148,True
2775,81.93826,97.0760498879019,269386.0384389278,63.770134,70.60904314777866,20,12.132494,8.286694660983786,False
2776,100.1952,97.07717350105469,269486.2336389278,87.39529,70.61509006667355,27,13.3007488,8.288500876451732,False
2777,122.011536,97.086152385642,269608.2451749278,114.1856,70.63077984338703,36,13.8587542,8.290506729287003,False
2778,121.771576,97.09503842725984,269730.01675092784,114.117775,70.64643390931813,36,13.8779678,8.292518054366452,False
2779,150.295288,97.11418209389272,269880.31203892786,139.332016,70.67114984385958,44,13.590085,8.294424339701333,False
2780,75.65932,97.10646451759995,269955.97135892784,63.04323,70.66840598780064,20,12.9167452,8.296087045046765,False
2781,201.24617,97.14391137322109,270157.21752892784,189.027512,70.71096589647097,59,13.6546488,8.298013892135923,False
2782,151.935638,97.16360645827744,270309.15316692786,140.0455,70.73588844647225,44,13.53247,8.299895436387493,False
2783,200.305969,97.20066803303192,270509.45913592784,190.1439,70.77879466693703,60,13.7275476,8.301845724624506,False
2784,147.734741,97.2188196397011,270657.19387692783,139.815323,70.80359227050495,44,13.877161,8.303848352237788,False
2785,240.01445,97.27009275652706,270897.20832692785,234.615234,70.86241153144911,73,13.694932,8.305784109382406,True
2786,199.18573,97.30667410514282,271096.3940569279,190.861816,70.90548382307458,60,13.8671379,8.307780288058149,False
2787,80.5185,97.30065036129454,271176.9125569279,63.3912964,70.90278766684095,20,12.274394,8.309203543785433,False
2788,177.18103,97.32930186044759,271354.09358692786,166.625137,70.93712136459317,53,13.6339617,8.311113428346486,False
2789,240.01445,97.3804618275109,271594.1080369279,229.129532,70.99384148314296,72,13.3159761,8.312907929125135,True
2790,240.01445,97.43158512076269,271834.1224869279,33.7047462,70.9804762160164,12,2.60564184,8.310862314039428,True
2791,3.21999764,97.3978296254274,271837.3424845679,-2.222161,70.95424811239188,1,11.5540295,8.312024323063419,False
2792,240.01445,97.44891007685098,272077.3569345679,236.0917,71.01339476421408,73,13.8226938,8.313998058549428,True
2793,149.8752,97.46768067832721,272227.2321345679,139.919571,71.03806579043527,44,13.68977,8.315922788925887,False
2794,240.01445,97.51869956498494,272467.24658456794,237.630371,71.09769081019532,74,13.8703566,8.317910775257696,True
2795,240.01445,97.56968194438925,272707.26103456796,235.1238,71.15637635910043,73,13.7445316,8.319852321169948,True
2796,204.626892,97.60797136143346,272911.8879265679,192.452713,71.19975845375026,61,13.5811644,8.32173404938126,False
2797,240.01445,97.65888536881228,273151.90237656794,235.017685,71.25832760875429,73,13.724472,8.323665668240974,True
2798,48.52092,97.6413235513109,273200.4232965679,37.9982643,71.24644052394058,12,12.9805126,8.325330016679773,False
2799,144.854126,97.6581912906638,273345.27742256795,133.574188,71.26870838656153,42,13.5603447,8.327200332750984,False
2800,240.01445,97.70903281163142,273585.29187256796,232.669144,71.32635139928063,73,13.54299,8.329063114775002,True
2801,240.01445,97.75983803019207,273825.306322568,222.619766,71.38036547089816,69,13.0244675,8.330739446222779,True
2802,233.112976,97.808143932394,274058.419298568,216.455185,71.43214092397777,68,13.3854647,8.332543416691651,False
2803,200.986115,97.844953768665,274259.40541356796,188.707214,71.47398005101168,59,13.6337624,8.334434682829114,False
2804,237.67395,97.89482145633666,274497.079363568,192.286072,71.51706567581516,61,11.7694693,8.33565973083809,False
2805,98.27552,97.89495717774261,274595.354883568,87.28759,71.52268796612681,27,13.5161762,8.337506617279859,False
2806,154.136108,97.91500035337421,274749.490991568,140.142059,71.54714248181956,44,13.3635283,8.33929778680328,False
2807,240.01445,97.9656235987061,274989.50544156804,224.863571,71.60176180084991,70,13.1320429,8.34100521292127,True
2808,240.01445,98.01621078759545,275229.51989156805,233.7315,71.65950031160459,73,13.62433,8.342886738842594,True
2809,240.01445,98.0667619585504,275469.53434156807,233.6319,71.7171622552459,73,13.6188326,8.34476496805625,True
2810,176.840958,98.09479548027333,275646.37529956806,139.840942,71.74140559323335,44,11.6511354,8.34594161233808,False
2811,110.573456,98.0992347049335,275756.94875556807,89.89857,71.74786491888499,28,12.3615789,8.347370156374957,False
2812,50.9809761,98.08247856744953,275807.9297316681,37.9598427,71.73584926375736,12,12.3799114,8.348804203758892,False
2813,226.751617,98.12821946273304,276034.68134866806,215.609177,71.78699513213142,68,13.7013865,8.35070700585496,False
2814,97.31568,98.12793071381239,276131.99702866806,88.49231,71.79293163350593,28,13.6879244,8.352603671595595,False
2815,240.01445,98.17833445068138,276372.0114786681,237.979691,71.8519677824816,74,13.8903017,8.35457088226288,True
2816,209.808,98.21797566714066,276581.8194786681,190.578659,71.89412924953326,60,13.1644688,8.356278942602986,False
2817,50.100956,98.20089472299186,276631.9204346681,37.71726,71.88199688558242,12,12.4834023,8.35774402011715,False
