EpisodeNumber,IterationTime,Reward,CheckpointCount,AverageVelocity,TimedOut
2172,240.01445,191.737366,61,11.1283913,True
2173,240.01445,202.233368,65,11.6792173,True
2174,240.01445,202.956314,65,11.7305689,True
2175,26.72042,10.0200043,3,9.16271,False
2176,240.01445,206.3694,66,11.9285765,True
2177,240.01445,207.223511,66,11.99815,True
2178,82.07824,61.7041,20,11.6007414,False
2179,240.01445,209.5709,66,12.207036,True
2180,240.01445,213.809814,67,12.4798508,True
2181,240.01445,215.378342,68,12.533268,True
2182,240.01445,221.074326,71,12.7660542,True
2183,240.01445,222.765244,72,12.8310814,True
2184,240.01445,219.835785,70,12.73888,True
2185,240.01445,218.205353,69,12.712533,True
2186,240.01445,209.210678,66,12.1715364,True
2187,240.01445,213.978,67,12.4917564,True
2188,240.01445,211.476974,66,12.3760853,True
2189,240.01445,222.804626,72,12.8304148,True
2190,240.01445,212.349533,66,12.466197,True
2191,240.01445,219.282516,70,12.6999578,True
2192,240.01445,212.055374,66,12.4523592,True
2193,240.01445,219.49086,70,12.7310066,True
2194,182.382141,161.5812,52,12.83431,False
2195,240.01445,212.787216,66,12.4797783,True
2196,240.01445,218.1958,69,12.6876287,True
2197,240.01445,220.261719,70,12.789712,True
2198,135.492126,111.843391,36,12.1771784,False
2199,57.9811363,37.09354,12,10.6529942,False
2200,240.01445,182.4393,58,10.6934128,True
2201,3.53999734,-1.95218444,1,12.1417446,False
2202,240.01445,221.543015,71,12.8070564,True
2203,81.51833,60.4641647,19,11.6544342,False
2204,240.01445,136.305466,43,8.27497,True
2205,45.340847,15.27268,1,8.772607,False
2206,45.340847,29.3657684,10,10.9585791,False
2207,16.5601883,3.57409668,2,8.097681,False
2208,52.38101,19.2338657,3,8.280895,False
2209,125.430962,103.396973,34,12.0852137,False
2210,16.1201782,3.66970062,2,8.428528,False
2211,56.84111,35.545372,11,10.6586218,False
2212,240.01445,219.490616,70,12.7166214,True
2213,175.580688,159.4958,51,13.2105217,False
2214,240.01445,216.8096,68,12.6784153,True
2215,240.01445,228.950516,73,13.2631941,True
2216,76.4391861,62.6066055,20,12.7100973,False
2217,240.01445,221.74147,70,12.9066849,True
2218,189.383636,163.969833,53,12.4950485,False
2219,50.20096,37.6659431,12,12.4488325,False
2220,78.39886,63.97503,21,12.4686,False
